,Graph,"Sep 25, 2022","Aug 25, 2022","Jul 25, 2022","Jun 25, 2022","May 25, 2022","Apr 25, 2022","Mar 25, 2022","Feb 25, 2022","Jan 25, 2022","Dec 25, 2021","Nov 25, 2021","Oct 25, 2021","Sep 25, 2021","Aug 25, 2021","Jul 25, 2021","Jun 25, 2021","May 25, 2021","Apr 25, 2021","Mar 25, 2021","Feb 25, 2021","Jan 25, 2021","Dec 25, 2020","Nov 25, 2020","Oct 25, 2020","Sep 25, 2020","Aug 25, 2020","Jul 25, 2020","Jun 25, 2020","May 25, 2020","Apr 25, 2020","Mar 25, 2020","Feb 01, 2020"
Original Balance,,"299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00","299,200,000.00"
Current Balance,,0.00,0.00,0.00,0.00,0.00,"5,599,732.58","12,289,982.50","19,196,501.21","26,526,361.50","34,221,070.28","41,225,186.43","50,206,427.64","59,548,230.16","70,024,671.73","81,123,724.07","91,373,601.13","102,776,084.15","114,150,803.09","125,943,748.50","137,413,672.47","149,150,952.30","159,987,872.25","171,547,985.14","183,254,654.92","195,292,541.35","208,122,092.14","222,471,883.59","236,865,166.96","252,237,127.75","268,603,991.80","285,020,224.80","299,200,000.00"
Factor,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,0.0411,0.0642,0.0887,0.1144,0.1378,0.1678,0.1990,0.2340,0.2711,0.3054,0.3435,0.3815,0.4209,0.4593,0.4985,0.5347,0.5734,0.6125,0.6527,0.6956,0.7436,0.7917,0.8430,0.8977,0.9526,1.0000
Coupon,,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200
Reported Coupon,,0.0000,0.0000,0.0000,0.0000,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,2.0200,-
Natural Credit Support,,-,-,-,-,-,95.73,89.03,83.13,77.77,72.94,69.10,64.82,60.99,57.29,53.91,51.20,48.56,46.24,44.12,42.29,40.61,39.20,37.85,36.60,35.42,34.29,33.13,32.08,30.51,28.72,27.03,25.67
Credit Support (%),,-,-,-,-,-,95.73,89.03,83.13,77.77,72.94,69.10,64.82,60.99,57.29,53.91,51.20,48.56,46.24,44.12,42.29,40.61,39.20,37.85,36.60,35.42,34.29,33.13,32.08,30.51,28.72,27.03,25.67
Credit Support,,-,-,-,-,-,"83,857,733.99","84,642,623.65","85,452,885.62","86,312,813.36","87,215,544.56","88,037,256.51","89,090,921.68","90,186,887.33","91,415,967.07","92,718,090.54","93,920,590.08","95,258,311.51","96,592,775.78","97,976,305.69","99,321,939.25","100,698,938.54","101,970,309.04","103,326,523.40","104,699,931.53","106,112,197.59","107,617,340.42","109,300,835.46","110,989,432.99","109,953,659.62","107,457,123.72","104,915,162.51","102,660,068.82"
Reported Principal Payment,,0.00,0.00,0.00,0.00,"5,599,732.58","6,690,249.92","6,906,518.71","7,329,860.29","7,694,708.78","7,004,116.15","8,981,241.21","9,341,802.52","10,476,441.57","11,099,052.34","10,249,877.06","11,402,483.02","11,374,718.94","11,792,945.41","11,469,923.97","11,737,279.83","10,836,919.95","11,560,112.89","11,706,669.78","12,037,886.43","12,829,550.79","14,349,791.45","14,393,283.37","15,371,960.79","16,366,864.05","16,416,233.00","14,179,775.20",-
Reported Interest Payment,,0.00,0.00,0.00,0.00,"9,426.22","20,688.14","32,314.11","44,652.71","57,605.47","69,395.73","84,514.15","100,239.52","117,874.86","136,558.27","153,812.23","173,006.41","192,153.85","212,005.31","231,313.02","251,070.77","269,312.92","288,772.44","308,478.67","328,742.44","350,338.86","374,494.34","398,723.03","424,599.17","452,150.05","479,784.05","570,807.11",-
Accum Writedown,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,,-/AAA/WR,-/AAA/WR,-/AAA/WR,-/AAA/WR,-/AAA/WR,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/AAA/AAA,-/-/-
Ratings Order,,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA
